DarkHotel,Equation,Winnti,APT29,Gorgon
000000 (9571930),000000 (14339999),000000 (23069043),000000 (31685582),303030 (69625337)
ababab (1005766),cdcdcd (482865),ffffff (524994),303030 (9868604),000000 (14742887)
ffffff (680939),ffffff (355681),cccccc (197027),f6f6f6 (1557058),666666 (13912454)
414141 (317749),feffff (242707),010000 (184193),202020 (867283),313131 (4069008)
999999 (317010),504144 (217765),909090 (173352),ffffff (651720),303130 (2594676)
010000 (300200),414444 (216606),000048 (91691),cccccc (326508),303031 (2051333)
101010 (252869),444449 (216547),020000 (67100),010000 (149480),313030 (1742610)
00008b (200996),494e47 (216476),00008b (61936),00008b (99982),ffffff (1571344)
feffff (172503),44494e (216474),080000 (53196),feffff (88198),303063 (1392709)
cccccc (169577),010000 (184797),040000 (45492),558bec (85866),633030 (1332296)
acacac (131315),fdffff (161743),000001 (44873),ffff8b (79964),303032 (1208408)
020000 (127015),000083 (139997),00488b (44587),000083 (63216),313031 (1098503)
ffff8b (111919),000008 (121480),000100 (44554),0000ff (62020),343030 (1086349)
ffff00 (106855),00008b (118415),feffff (43775),fdffff (59811),306330 (1038411)
909090 (105543),e10010 (108882),000008 (39639),020000 (59488),383030 (769948)
80d77e (105493),585041 (108645),000083 (38897),ffff83 (55422),303038 (768636)
af80d7 (105372),4e4758 (108638),000800 (38176),85c074 (52961),353030 (733495)
d77eaf (105330),585850 (108246),0000e8 (37363),002000 (52723),303830 (733066)
7eaf80 (105314),475858 (108222),0000ff (37325),ff0000 (50675),663030 (685850)
171717 (101723),475041 (107918),f9ffff (35833),ff558b (47748),d1d1d1 (644954)
